GSM_ID,Factor,Biosource,GIGGLE_score
GSM1032075,RUNX1,SEM;Pre-B Lymphocyte,1261.7813924752766
GSM1438987,TCF7L1,Pre-B Lymphocyte,1055.2860182029306
GSM1438990,EP300,Pre-B Lymphocyte,823.6917646983211
GSM722170,RUNX1,Jurkat E6-1;T Lymphocyte;Blood,576.835670997791
GSM1438989,PBX1,Pre-B Lymphocyte,544.2645330935252
GSM722708,RUNX1,Myeloblast;Blood,452.6403540245005
GSM1581788,RUNX1,Myeloid Cell,452.6403540245005
GSM449526,RUNX1,Jurkat E6-1;T Lymphocyte;Blood,451.4369879033212
GSM722169,RUNX1,Jurkat E6-1;T Lymphocyte;Blood,446.6709430694141
GSM1975912,RUNX1,Jurkat;T Lymphocyte;Blood,434.153085173089
GSM1697879,RUNX1,Jurkat;T Lymphocyte;Blood,434.153085173089
GSM2212239,MED1,SEM;B Lymphocyte,396.12698689575774
GSM1603217,POLR2A,Jurkat;T Lymphocyte;Blood,389.33290934590025
GSM1438986,BCL6,Pre-B Lymphocyte,385.906021838977
GSM1603216,POLR2A,Jurkat;T Lymphocyte;Blood,376.8136224694703
GSM614003,TAL1,Jurkat;T Lymphocyte;Blood,375.8613631321462
GSM722165,TAL1,Jurkat E6-1;T Lymphocyte;Blood,365.7962906081796
GSM1637309,NR3C1,Nalm6;B cell precursor;Blood,340.2275136807378
GSM449527,CREBBP,Jurkat E6-1;T Lymphocyte;Blood,339.9351923964112
GSM957610,TCF12,RPMI-8402;T cell leukemia;Blood,337.9450940081237
GSM722166,TCF12,Jurkat E6-1;T Lymphocyte;Blood,337.5974299169014
GSM940322,MEIS1,SEM;Pre-B Lymphocyte,337.07170060745693
GSM957607,TCF7L1,RPMI-8402;T cell leukemia;Blood,334.9199466043677
GSM1841306,NR3C1,RS4;B Lymphocyte,331.9554660781684
GSM1080931,IKZF1,Nalm6;B cell precursor;Blood,331.7062816825612
GSM2090921,BRD4,MOLT-4;T Lymphoblast,331.3392234838578
GSM837996,TAL1,CCRF-CEM;T Lymphocyte;Blood,321.37518989531463
GSM957606,TCF7L1,RPMI-8402;T cell leukemia;Blood,312.0259635866345
