GSM_ID,Factor,Biosource,GIGGLE_score
GSM2356332,CD74,B Lymphocyte,1295.9301324902535
GSM2356333,CD74,B Lymphocyte,1292.7408854401574
GSM486307,RELA,GM18951;Lymphoblastoid;Blood,1288.866521005892
GSM486311,RELA,GM18526;Lymphoblastoid;Blood,1286.715065447788
GSM2356326,CD74,B Lymphocyte,1285.1361835316904
GSM2356335,CD74,B Lymphocyte,1279.7106180281278
GSM2356330,CD74,B Lymphocyte,1270.2456685120394
GSM486271,RELA,GM19193;Lymphoblastoid;Blood,1269.7798719533043
GSM486300,RELA,GM10847;Lymphoblastoid;Blood,1263.3969597762434
GSM486302,RELA,GM10847;Lymphoblastoid;Blood,1257.1660410253467
GSM1668935,FOXO1,B Lymphocyte;Tonsil,1253.0854854779955
GSM1333967,SPI1,GM12878;B Lymphocyte;Blood,1252.060013252132
GSM486305,RELA,GM18951;Lymphoblastoid;Blood,1250.5504875018746
GSM486319,RELA,GM12878;B Lymphocyte;Blood,1250.507692608957
GSM935281,RELA,GM18526;Lymphoblastoid;Blood,1250.4319903043645
GSM486281,RELA,GM19099;Lymphoblastoid;Blood,1247.535250587001
GSM486318,RELA,GM12878;B Lymphocyte;Blood,1247.4530657290804
GSM486301,RELA,GM10847;Lymphoblastoid;Blood,1246.6065679095368
GSM486274,RELA,GM18505;Lymphoblastoid;Blood,1244.8915521004556
GSM1668936,FOXO1,B Lymphocyte;Tonsil,1244.667059649707
GSM1703917,EP300,B Lymphocyte,1241.9737258848813
GSM486282,RELA,GM19099;Lymphoblastoid;Blood,1235.9244135895708
GSM486269,RELA,GM19193;Lymphoblastoid;Blood,1235.457238990328
GSM1370279,IRF4,OCI-Ly10;B Lymphocyte;Bone Marrow,1234.3792155890276
GSM1703922,SPI1,B Lymphocyte,1229.0517964503388
GSM1038696,TAL1,Erythroid Cell,1227.5535089756925
GSM908055,TAL1,Proerythroblast;Bone Marrow,1226.0208628955488
GSM2452103,TAL1,Hematopoietic stem and progenitor cell;Blood,1225.3518283561973
GSM908054,TAL1,Proerythroblast;Fetal Liver,1222.8068396388828
GSM722397,SMAD1,Proerythroblast;Blood,1221.3646637830236
GSM722398,SMAD1,Proerythroblast;Blood,1221.1329990281365
GSM1038697,TAL1,Erythroid Cell,1219.6531970072065
GSM486283,RELA,GM19099;Lymphoblastoid;Blood,1219.284408607779
GSM1038699,TAL1,Erythroid Cell,1218.7449503375735
GSM614004,TAL1,Proerythroblast;Bone Marrow,1217.0488514341885
GSM1488758,GATA2,Erythroid progenitor;Bone Marrow,1213.6273995711779
GSM971336,EP300,Blood,1211.0842332425666
GSM486278,RELA,GM18505;Lymphoblastoid;Blood,1209.611782568795
GSM1334008,SPI1,GM12878;B Lymphocyte;Blood,1209.578334286149
GSM1097883,GATA2,Haematopoietic Progenitor Cell;Blood,1208.9973928470888
GSM1370280,SPI1,OCI-Ly10;B Lymphocyte;Bone Marrow,1207.4300864283405
GSM486276,RELA,GM18505;Lymphoblastoid;Blood,1206.1664291467175
GSM486288,RELA,GM15510;Lymphoblastoid;Blood,1205.784247253208
GSM1003611,ZMIZ1,K562;Erythroblast;Bone Marrow,1205.5321622644994
GSM1097882,LYL1,Haematopoietic Progenitor Cell;Blood,1204.1259600297906
GSM1668937,BCL6,B Lymphocyte;Tonsil,1202.2928228480828
GSM1488757,GATA2,Erythroid progenitor;Bone Marrow,1200.801243337301
GSM486313,RELA,GM18526;Lymphoblastoid;Blood,1200.2501940165848
GSM486324,RELA,GM12891;Lymphoblastoid;Blood,1200.0255845921358
GSM486316,RELA,GM12878;B Lymphocyte;Blood,1198.1907225774899
GSM1544543,FOXP1,B Lymphocyte,1198.1508072841375
GSM1038698,TAL1,Erythroid Cell,1197.1663214376915
GSM486308,RELA,GM18951;Lymphoblastoid;Blood,1193.8616224973946
GSM486270,RELA,GM19193;Lymphoblastoid;Blood,1190.8276890878074
GSM1370281,SPIB,OCI-Ly10;B Lymphocyte;Bone Marrow,1189.895411147171
GSM935527,RELA,GM10847;Lymphoblastoid;Blood,1189.5049254243304
GSM1370292,SPI1,OCI-Ly3;B Lymphocyte;Bone Marrow,1184.8112384156466
GSM486295,RELA,GM12892;Lymphoblastoid;Blood,1184.5654866733207
GSM935333,GATA1,PBDE;Erythroblast;Blood,1179.281286180676
GSM935273,RELA,GM19099;Lymphoblastoid;Blood,1174.2547352632384
GSM651544,TAL1,Proerythroblast;Bone Marrow,1173.4772971723448
GSM935494,EP300,K562;Erythroblast;Bone Marrow,1169.624235292166
