GSM_ID,Factor,Biosource,GIGGLE_score
GSM1390715,HNF4A,Epithelium;Liver,1633.206818356456
GSM1477607,FOXA2,Epithelium;Liver,1546.1235409159203
GSM1384739,FOXA2,Liver,1533.7407311127831
GSM634623,FOXA2,Hepatocyte;Liver,1528.4827424179007
GSM717562,FOXA2,Hepatocyte;Liver,1528.4827424179007
GSM2068830,FOXA2,Liver,1525.3076374101597
GSM1724239,FOXA2,3C10;Liver,1505.031669854343
GSM427089,FOXA2,Hepatocyte;Liver,1503.955710471694
GSM1724234,FOXA2,3C10;Liver,1489.7185601458343
GSM1936963,NR3C1,L 101;Liver,1486.8354351704531
GSM647028,NCOR1,Hepatocyte;Liver,1474.9757438025601
GSM1390711,HNF4A,Epithelium;Liver,1471.6802185933313
GSM1384738,FOXA2,Liver,1466.4163167732863
GSM1936964,NR3C1,L 101;Liver,1462.7338636804227
GSM2055887,HNF4A,Liver,1454.1149616684525
GSM2055884,FOXA3,Liver,1447.1120752075315
GSM647023,HDAC3,Hepatocyte;Liver,1442.0489190477124
GSM840528,NR1D1,Epithelium;Liver,1439.0496597788324
GSM1390712,HNF4A,Epithelium;Liver,1434.6289999357762
GSM2055888,HNF4A,Liver,1433.5204243537669
GSM784037,STAT5B,Hepatocyte;Liver,1432.6426849006189
GSM1111749,CEBPB,Liver,1430.5852175269033
GSM1854433,CEBPB,Liver,1425.3609400108865
GSM1446074,NR3C1,Liver,1424.7633296980152
GSM2218847,NR1D1,Liver,1423.5482687390274
GSM864673,RXRA,Hepatocyte;Liver,1420.5417971389745
GSM1087778,ARNTL,Liver,1419.8283579270199
GSM1936965,NR3C1,L 101;Liver,1417.9328445050576
GSM784036,STAT5B,Hepatocyte;Liver,1416.3355466485473
GSM1659695,HDAC3,Liver,1416.2898039834186
GSM784035,STAT5B,Hepatocyte;Liver,1415.0231426826208
GSM864674,RXRA,Hepatocyte;Liver,1413.663533125322
GSM864676,RXRA,Hepatocyte;Liver,1411.9314716303736
GSM864668,NR1H2,Hepatocyte;Liver,1410.0614151511752
GSM1854432,CEBPB,Liver,1409.6644551609945
GSM647022,HDAC3,Hepatocyte;Liver,1409.0929960274793
GSM864671,PPARA,Hepatocyte;Liver,1405.7505908962357
GSM1446063,NR3C1,Liver,1405.021226895073
GSM1446075,NR3C1,Liver,1404.075712434762
GSM864669,NR1H2,Hepatocyte;Liver,1402.0870573721074
GSM864670,NR1H2,Hepatocyte;Liver,1401.056555248724
GSM1280885,SRC,Epithelium;Liver,1401.0043550438593
GSM2406341,HNF4A,Liver,1400.8419540391324
GSM982690,ARNTL,Epithelium;Liver,1398.9220542043759
GSM647024,HDAC3,Hepatocyte;Liver,1398.6976217645547
GSM1446071,NR3C1,Liver,1397.4213385232904
GSM1854437,CEBPB,Liver,1397.1086299212855
GSM982751,CRY2,Epithelium;Liver,1395.4524362801633
GSM1446073,NR3C1,Liver,1395.2899897413015
GSM1588480,ARID1A,Hepatocyte;Liver,1393.5633704300265
GSM1816821,CEBPA,Liver,1392.4105279010225
GSM1446062,NR3C1,Liver,1391.9170226940287
GSM1037665,CEBPB,Epithelium;Liver,1390.0867326230907
GSM1037659,CEBPA,Epithelium;Liver,1390.0673298625532
GSM2406335,HNF4A,Liver,1388.643133997654
GSM2218850,NR1D1,Liver,1388.3861699128797
GSM1659689,NR1D1,Liver,1387.050520217711
GSM2406342,HNF4A,Liver,1386.8286761000295
GSM2287957,HDAC3,Liver,1386.3597425034175
GSM1446072,NR3C1,Liver,1384.2475554269645
GSM1446065,NR3C1,Liver,1384.1341092032096
GSM1831369,HNF1B,IMCD3;Kidney,1381.4395392430304
GSM2218849,NR1D1,Liver,1381.4022616480383
GSM427088,CEBPB,Hepatocyte;Liver,1369.9296635813705
GSM1263820,ESR1,Epithelium;Liver,1369.4391090516526
GSM1659693,RORC,Liver,1366.9184836739955
GSM982753,CRY2,Epithelium;Liver,1360.2062768726587
GSM1138337,RXRA,Liver,1357.3256093892655
GSM1299600,RXRA,Liver,1357.3256093892655
GSM864675,RXRA,Hepatocyte;Liver,1347.9195538298345
GSM1111748,NR3C1,Liver,1344.300340928755
GSM982743,CRY1,Epithelium;Liver,1343.2427351140484
GSM2287956,HDAC3,Liver,1328.0155816566105
GSM982748,CRY2,Epithelium;Liver,1325.854594285665
GSM2406336,HNF4A,Liver,1324.6780989199804
GSM1163172,RXRA,Liver,1310.8064348752234
GSM2287955,HDAC3,Liver,1310.0311216711127
GSM1446064,NR3C1,Liver,1308.6011824947334
GSM1044697,HDAC3,Epithelium;Liver,1308.4795350572836
GSM427090,FOXA1,Hepatocyte;Liver,1308.1059264417574
GSM1831368,HNF1B,IMCD3;Kidney,1306.9250302109112
GSM1816822,CEBPA,Liver,1304.4517113222341
GSM647029,NR1D1,Hepatocyte;Liver,1301.8613996954516
GSM2051311,HNF1B,mpkDCT4a;immortalized mouse DCT cells,1296.556837950152
GSM2218851,NR1D1,Liver,1295.573164168571
GSM982752,CRY2,Epithelium;Liver,1295.0477159547052
GSM1037663,CEBPA,Epithelium;Liver,1293.9123393384955
GSM864678,RXRA,Hepatocyte;Liver,1292.214319092357
GSM982729,PER1,Epithelium;Liver,1291.1926579144979
GSM1854435,CEBPB,Liver,1290.290915501767
GSM1037672,CEBPB,Epithelium;Liver,1288.2187689778154
GSM1059362,FOXA1,Lung,1287.4422224579025
GSM982737,PER2,Epithelium;Liver,1287.057253978388
GSM982736,PER2,Epithelium;Liver,1285.376619321594
GSM982750,CRY2,Epithelium;Liver,1258.3875752130334
GSM1446066,NR3C1,Liver,1251.071872564402
GSM1037657,CEBPA,Epithelium;Liver,1250.3518596228403
GSM982689,ARNTL,Epithelium;Liver,1246.9006596921818
GSM864689,POLR2A,Hepatocyte;Liver,1243.436845708004
GSM2406343,HNF4A,Liver,1237.2301549628846
GSM1588479,CEBPA,Hepatocyte;Liver,1237.0571518159593
GSM784031,STAT5B,Hepatocyte;Liver,1232.9221636897485
GSM982738,PER2,Epithelium;Liver,1230.6764028741698
GSM1659697,HDAC3,Liver,1228.5564818524467
GSM2406344,HNF4A,Liver,1219.2676941807213
GSM1211424,ESR1,Liver,1216.895532211924
GSM840529,NR1D2,Epithelium;Liver,1212.4462138330434
GSM864672,PPARA,Hepatocyte;Liver,1210.8623352701675
GSM1087779,ARNTL,Liver,1209.0439194998496
GSM890127,NR1D1,Epithelium;Liver,1209.025654704212
GSM982713,CLOCK,Epithelium;Liver,1195.892277925651
GSM2287954,HDAC3,Liver,1193.5625462120654
GSM1163177,PPARA,Liver,1193.4891000448931
GSM982688,ARNTL,Epithelium;Liver,1192.8436450090378
GSM647027,NCOR1,Hepatocyte;Liver,1192.0743132743376
GSM1854436,CEBPB,Liver,1191.3135671121197
GSM864677,RXRA,Hepatocyte;Liver,1187.976222234276
GSM1037662,CEBPA,Epithelium;Liver,1185.1203819962072
GSM784040,BCL6,Hepatocyte;Liver,1178.6257083183616
GSM1588478,CEBPA,Hepatocyte;Liver,1176.8324572373806
GSM1163176,RXRA,Liver,1174.7028959684508
GSM1631168,CEBPB,Liver,1169.4538710841578
GSM2574037,AHR,Liver,1164.1506005325666
GSM2287952,HDAC3,Liver,1158.0969653981188
GSM2406329,HDAC3,Liver,1146.069178146438
GSM1659696,HDAC3,Liver,1139.6417752567265
GSM2406330,HDAC3,Liver,1133.5059660340964
GSM2112346,NR3C1,L 101;Hepatocyte,1127.6583930023446
GSM2573805,AHR,Liver,1126.7519482221305
GSM1163179,PPARA,Liver,1124.233873715693
GSM982745,CRY1,Epithelium;Liver,1122.28207277983
GSM1299603,RXRA,Liver,1114.9909365131273
GSM982742,CRY1,Epithelium;Liver,1114.284334773651
GSM982741,CRY1,Epithelium;Liver,1112.247424006898
GSM784038,BCL6,Hepatocyte;Liver,1110.8455058971847
GSM2574040,AHR,Liver,1105.2077233004104
GSM982746,CRY1,Epithelium;Liver,1102.9727545311403
GSM1059363,FOXA1,Lung,1102.3050201425467
GSM1854434,CEBPB,Liver,1097.8317234639317
GSM1146466,FOXA1,Epithelium;Prostate,1094.104962050528
GSM982758,CREBBP,Epithelium;Liver,1066.6571227108645
GSM1037671,CEBPB,Epithelium;Liver,1061.5007320687178
GSM2112345,NR3C1,L 101;Hepatocyte,1057.8942178750956
GSM1122512,NR3C1,Epithelium;Liver,1056.8980089908678
GSM1037664,CEBPA,Epithelium;Liver,1052.864099954726
GSM2406331,HDAC3,Liver,1052.2789818107672
GSM541292,RXRA,Epithelium;Liver,1049.9368621267788
GSM1037666,CEBPB,Epithelium;Liver,1048.3921355049679
GSM722762,EP300,Epithelium;Liver,1047.7449797811432
GSM982744,CRY1,Epithelium;Liver,1045.4172386753469
GSM982731,PER1,Epithelium;Liver,1043.3801375560256
GSM1037658,CEBPA,Epithelium;Liver,1040.4523946398945
GSM1437733,NFIL3,Liver,1040.1153056752617
GSM1150333,FOXA2,Pancreas,1016.0229344088127
GSM784027,STAT5B,Hepatocyte;Liver,1015.0262537247163
GSM1150335,FOXA2,Pancreas,1014.0515947024486
GSM2573808,AHR,Liver,1008.8523823120653
GSM1163173,PPARA,Liver,1004.8997820538353
GSM1588476,CEBPA,Hepatocyte;Liver,1002.075027137982
GSM2573806,AHR,Liver,999.8165623464388
GSM863769,TCF4,Hepatocyte,997.3958817202623
GSM2287953,HDAC3,Liver,996.3375779171896
GSM1122514,NR3C1,Epithelium;Liver,995.850720742781
GSM1037682,EGR1,Epithelium;Liver,988.4933934674046
