GSM_ID,Factor,Biosource,GIGGLE_score
GSM1032641,NFE2,Epithelium;Liver,1633.6738202374524
ENCSR982LJQ_2,EP300,Liver,1284.6311009810859
GSM1032638,NFE2,Epithelium;Liver,1121.1333170670587
ENCSR982LJQ_1,EP300,Liver,1093.1890884421173
GSM923576,TAL1,G1E-ER4;Erythroid Cell,1064.291697700852
GSM746571,TAL1,G1E-ER4;Erythroid Cell,915.141318946465
GSM1151147,NFE2,Erythroblast;Fetal Liver,886.9112666855502
GSM746583,TAL1,Erythroblast;Fetal Liver,864.5865258034323
GSM923582,TAL1,Erythroid Cell;Fetal Liver,839.7191694721124
GSM897224,GATA1,G1E-ER4;Erythroid Cell,837.6608299086715
GSM867160,GATA1,Erythroid Progenitor Cell;Blood,824.8250640083716
GSM453997,GATA1,G1E;Erythroid progenitor,806.1165581812352
GSM867159,GATA1,Erythroid Progenitor Cell;Blood,790.8043413582842
GSM746572,TAL1,G1E-ER4;Erythroid Cell,738.4397797416291
GSM746568,GATA1,G1E-ER4;Erythroid Cell,713.9188755996008
GSM923575,GATA1,Erythroid Cell;Fetal Liver,704.6776490978958
GSM746581,GATA1,Erythroblast;Fetal Liver,704.6776490978958
GSM746584,TAL1,Erythroblast;Fetal Liver,680.9460223377624
GSM867158,GATA1,Erythroid Progenitor Cell;Blood,642.718602715865
GSM923572,GATA1,G1E-ER4;Erythroid Cell,628.6111535072162
GSM1689032,TAL1,G1E-ER4;Erythroid Cell,625.5252575075452
GSM1689018,GATA1,G1E-ER4;Erythroid Cell,625.4752252126178
GSM995448,GATA1,G1E-ER4;Erythroid Cell,621.1420884600573
ENCSR765RPR_1,EP300,Liver,617.5045096241764
GSM1144556,TAL1,MEL;Erythroid Progenitor Cell,604.5223660426852
GSM1692855,LMO2,Hematopoietic progenitors,581.5498483847621
GSM1692858,TAL1,Hematopoietic progenitors,575.8125264656452
GSM995449,GATA1,G1E-ER4;Erythroid Cell,575.7715191506479
GSM2076704,NFE2L2,C2C12;Myoblast;Muscle,572.3747003394719
GSM1218225,GATA1,FDCPmix;Hematopoietic Stem Cell;Bone Marrow,571.448849742207
GSM746582,GATA1,Erythroblast;Fetal Liver,566.1179138953797
GSM1051274,LDB1,Bone Marrow,552.3348878005813
GSM1051275,TAL1,Bone Marrow,546.0504145997082
GSM1003808,GATA1,MEL;Erythroid Progenitor Cell,545.6663269292537
GSM1689028,TAL1,G1E-ER4;Erythroid Cell,542.8837444769132
GSM464634,TAL1,Erythroblast;Liver,536.7917989077732
GSM1003806,MAFK,MEL;Erythroid Progenitor Cell,521.2449409568778
GSM1532603,GATA1,G1E;Erythroid progenitor,520.4047782783383
GSM995444,GATA1,G1E-ER4;Erythroid Cell,511.065386386916
GSM1532602,GATA1,G1E;Erythroid progenitor,508.96024025362397
GSM923578,TAL1,MEL;Erythroid Progenitor Cell,508.3157411979229
GSM1003791,NFE2L2,MEL;Erythroid Progenitor Cell,496.00812579464974
GSM2665580,TAL1,Embryonic Stem Cell,489.83811022843895
ENCSR765RPR_2,EP300,Liver,484.52132141709063
GSM1543575,TAL1,Mesodermal Cell,477.3004444575866
GSM1144547,TAL1,J1;Embryonic Stem Cell;Embryo,432.32280211023766
GSM2431711,TAL1,Mesodermal Cell,417.48693971338923
GSM641910,TAL1,Bone Marrow,409.5978717997458
GSM912921,EP300,MEL;Erythroid Progenitor Cell,400.5279508853387
GSM1359841,TAL1,J1;Embryonic Stem Cell;Embryo,389.581837394548
GSM464636,TAL1,Erythroblast;Liver,387.86887404266366
GSM1689029,TAL1,G1E-ER4;Erythroid Cell,375.84390409117486
GSM2346452,EP300,Embryo,374.6422015840969
GSM2366496,NRF1,MEFs;Fibroblast,371.2673551369577
GSM1144548,TAL1,J1;Embryonic Stem Cell;Embryo,366.6748676562701
GSM1689011,GATA1,G1E-ER4;Erythroid Cell,366.33562748407144
GSM2366495,NRF1,MEFs;Fibroblast,358.9712027838311
GSM1517428,GATA1,G1ME;Megakaryocyte;Bone Marrow,355.58089404478517
GSM1051276,GATA1,Bone Marrow,343.6129040354873
GSM1055553,LDB1,Hemangioblast;Embryo,341.1241679546326
GSM1532605,GATA1,G1E;Erythroid progenitor,332.7639343532088
GSM995443,GATA1,G1E-ER4;Erythroid Cell,327.2773171869216
GSM2332774,BACH2,Progenitor Cells,324.9947081192312
GSM2332775,BACH2,Progenitor Cells,318.47420788270284
GSM1144552,TAL1,Mesodermal Cell,316.21609939104303
GSM1944624,NFE2L2,Macrophage,314.3516625881396
GSM989024,TAL1,Hematopoietic Cell,310.91289953611346
GSM995445,GATA1,G1E-ER4;Erythroid Cell,309.9563385428844
GSM746555,TAL1,G1E;Erythroid progenitor,309.51547436719227
GSM923579,TAL1,G1E;Erythroid progenitor,305.02014987156036
GSM2346453,EP300,Embryo,296.14439739524033
GSM1689021,TAL1,G1E;Erythroid progenitor,292.3726143092636
GSM995442,GATA1,G1E-ER4;Erythroid Cell,290.1948111273927
GSM1003777,ETS1,MEL;Erythroid Progenitor Cell,289.60734876668687
GSM722388,SMAD1,G1E;Erythroid progenitor,287.2477299967773
GSM1940054,GATA1,Embryoid Bodies;Blood,285.7705716731348
GSM1692842,LMO2,Hemangioblast,285.4797327907398
GSM2431713,TAL1,Mesodermal Cell,284.8939755759898
GSM995447,TAL1,Megakaryocyte;Blood,284.52859471225486
GSM1689014,GATA1,G1E-ER4;Erythroid Cell,282.39247923874973
GSM2366497,NRF1,MEFs;Fibroblast,281.4182890790548
GSM1689022,TAL1,G1E;Erythroid progenitor,281.0256099654609
GSM1689012,GATA1,G1E-ER4;Erythroid Cell,279.3175425907495
GSM1689025,TAL1,G1E-ER4;Erythroid Cell,276.5656264734044
GSM777092,GATA1,G1ME;Megakaryocyte;Bone Marrow,267.94210976136975
GSM1568620,GATA1,G1ME;Megakaryocyte;Bone Marrow,267.94210976136975
GSM872893,GATA1,G1ME;Megakaryocyte;Bone Marrow,267.94210976136975
GSM746556,TAL1,G1E;Erythroid progenitor,266.0739596294001
