GSM_ID,Factor,Biosource,GIGGLE_score
GSM749524,EP300,NB4;Promyelocytic cell;Blood,1361.9903200755905
GSM722424,CEBPA,U937;Pleura,1291.1730305523317
GSM722425,SMAD1,U937;Pleura,1254.530393716336
GSM835863,EP300,SKNO-1;Myeloblast;Bone Marrow,1251.5333929724584
GSM722423,CEBPA,U937;Pleura,1237.8807017934896
GSM785502,CEBPB,Macrophage,1236.9243314215005
GSM1970176,MED12,Progenitor Cells,1232.477729933704
GSM1970177,MED12,Progenitor Cells,1227.135277516104
GSM863152,FLI1,NB4;Promyelocytic cell;Blood,1221.5895328704714
GSM1901550,LYL1,THP-1;Monocyte;Blood,1173.03742542608
GSM1632640,RUNX1,U937;Pleura,1080.0252358386888
GSM1901548,LYL1,NB4;Promyelocytic cell;Blood,1021.7979944808447
GSM1501163,CEBPA,Kasumi-1;Myeloblast;Blood,1005.2027380490944
GSM850824,RUNX1,Kasumi-1;Myeloblast;Blood,958.1918478698236
GSM2871154,RUNX1,HL-60;Acute myeloid leukemia,924.9072831836509
GSM2871156,CEBPB,HL-60;Acute myeloid leukemia,920.5301769777412
GSM2330566,CEBPB,SUM159PT;Breast,904.9570794162863
GSM1901545,LYL1,HL-60;Promyeloblast;Blood,875.5693236637783
GSM722426,TCF7L2,U937;Pleura,820.7449228538353
GSM2026059,EP300,Kasumi-1;Acute myeloid leukemia,807.0389422788855
GSM1020364,CEBPA,SGBS;Adipocyte;Adipose,801.77982175588
GSM1534443,NCOR1,Kasumi-1;Myeloblast;Blood,756.2703127249831
GSM2108052,RUNX1,THP-1;AML cell,731.3663455929249
GSM2326842,CEBPA,SKH1;SKH-1 cells,728.7567058313832
GSM468210,PML,UPR9;Promyelocytic cell;Bone Marrow,728.3819388084364
GSM2345027,CEBPB,MV4;11;Leukemia Cell;Blood,715.3015002682124
GSM850823,RUNX1,Kasumi-1;Myeloblast;Blood,715.2670001978689
GSM2330568,CEBPB,SUM159PT;Breast,713.2664807393013
GSM599838,CEBPA,Adipocyte;Adipose,684.17532965339
GSM722400,SMAD1,Haematopoietic Progenitor Cell;Blood,677.6280779468576
GSM585586,TCF12,Kasumi-1;Myeloblast;Blood,675.930719456837
GSM1113428,RUNX1,Kasumi-1;Myeloblast;Blood,659.2105422630882
GSM468206,PML,MR4;Promyelocytic cell;Bone Marrow,649.0989893250969
GSM468213,RXRA,UPR9;Promyelocytic cell;Bone Marrow,645.0425575651443
GSM468212,RARA,UPR9;Promyelocytic cell;Bone Marrow,643.3309606502617
GSM1113427,RUNX1,Kasumi-1;Myeloblast;Blood,640.4627846681642
GSM468182,RARA,NB4;Promyelocytic cell;Blood,634.1057573776056
ENCSR269IUA_1,CEBPB,A549;Epithelium;Lung,627.6229184573365
ENCSR686BIE_1,HES2,A549;Epithelium;Lung,624.1348517356433
ENCSR190VMK_2,CEBPB,A549;Epithelium;Lung,623.9856449772207
GSM2330567,CEBPB,SUM159PT;Breast,621.9845368601116
GSM1901542,LYL1,Kasumi-1;Myeloblast;Blood,616.9487606919381
ENCSR646EFO_2,HES2,A549;Epithelium;Lung,609.7369514565139
GSM2188503,CEBPB,Osteoblast,608.9265517908277
GSM2179743,RUNX1,NB4;Leukemic cells,604.6042803497446
GSM1550646,JMJD1C,Kasumi-1;Myeloblast;Blood,600.0269389460295
GSM585588,RUNX1T1,Kasumi-1;Myeloblast;Blood,595.2408173333384
ENCSR269IUA_2,CEBPB,A549;Epithelium;Lung,592.9240311407389
GSM2871153,SKI,HL-60;Acute myeloid leukemia,586.3725638942241
ENCSR951SNW_1,HES2,A549;Epithelium;Lung,584.5821401954098
GSM1595963,RUNX1,Kasumi-1;Myeloblast;Blood,577.2134555483896
GSM1113430,RUNX1T1,Kasumi-1;Myeloblast;Blood,574.2383393555775
GSM1901547,JMJD1C,NB4;Promyelocytic cell;Blood,567.9312620615257
ENCSR951SNW_2,HES2,A549;Epithelium;Lung,551.6780826476203
GSM971334,EP300,Hematopoietic Stem Cell;Blood,549.0814612870034
GSM1122321,CBFB,U937;Pleura,546.7838834627862
ENCSR964KSS_3,HES2,A549;Epithelium;Lung,544.2589038488662
GSM2150335,RUNX1,Kasumi-1;Myeloblast;Blood,539.0696615120789
ENCSR269IUA_3,CEBPB,A549;Epithelium;Lung,536.8111451686077
ENCSR375BUB_2,CEBPB,A549;Epithelium;Lung,532.9487277919785
GSM2330565,CEBPB,SUM159PT;Breast,531.3018696815908
GSM2359985,SPI1,THP-1;Monocyte;Blood,517.0836820252559
