GSM_ID,Factor,Biosource,GIGGLE_score
GSM2592810,SPI1,Macrophage;Blood,1420.5192144142065
GSM2695651,SPI1,Macrophage;Blood,1395.6851670443084
GSM2695652,SPI1,Macrophage;Blood,1376.9169971401448
GSM2695653,SPI1,Macrophage;Blood,1357.03964866474
GSM2592807,SPI1,Macrophage;Blood,1354.8570011439783
GSM1901550,LYL1,THP-1;Monocyte;Blood,1342.3218645046247
GSM1501163,CEBPA,Kasumi-1;Myeloblast;Blood,1324.4565660645833
GSM1534443,NCOR1,Kasumi-1;Myeloblast;Blood,1318.3487906243288
GSM624143,SPI1,THP-1;Monocyte;Blood,1318.0647100270053
GSM585588,RUNX1T1,Kasumi-1;Myeloblast;Blood,1314.4158656351508
GSM1501167,RUNX1,Kasumi-1;Myeloblast;Blood,1310.6108084139407
GSM2326842,CEBPA,SKH1;SKH-1 cells,1310.4116877780327
GSM863152,FLI1,NB4;Promyelocytic cell;Blood,1309.573172129778
GSM2150334,RUNX1,Kasumi-1;Myeloblast;Blood,1307.3169741185163
GSM2804465,SPI1,Monocyte;Blood,1305.1912629066364
GSM1501166,SPI1,Kasumi-1;Myeloblast;Blood,1304.4078846670172
GSM468210,PML,UPR9;Promyelocytic cell;Bone Marrow,1297.8190409989015
GSM722705,RUNX1,Kasumi-1;Myeloblast;Blood,1296.9565332964814
GSM722706,RUNX1,Kasumi-1;Myeloblast;Blood,1292.7750365394925
GSM1816089,SPI1,Hematopoietic stem and progenitor cell;Fetal Liver,1269.8561073124229
GSM850824,RUNX1,Kasumi-1;Myeloblast;Blood,1268.2939031617532
GSM1970176,MED12,Progenitor Cells,1267.0368184111348
GSM722400,SMAD1,Haematopoietic Progenitor Cell;Blood,1266.2109881033189
GSM2150335,RUNX1,Kasumi-1;Myeloblast;Blood,1264.3109438727945
GSM1816091,RUNX1,Hematopoietic stem and progenitor cell;Fetal Liver,1260.3527990324453
GSM1550646,JMJD1C,Kasumi-1;Myeloblast;Blood,1255.9631900167692
GSM1534442,RUNX1,Kasumi-1;Myeloblast;Blood,1255.331620415542
GSM722425,SMAD1,U937;Pleura,1247.1102454794557
GSM1113427,RUNX1,Kasumi-1;Myeloblast;Blood,1243.0508699737493
GSM1113430,RUNX1T1,Kasumi-1;Myeloblast;Blood,1240.8249447378466
GSM2592797,CEBPB,Macrophage;Blood,1239.8187318031985
GSM468182,RARA,NB4;Promyelocytic cell;Blood,1238.689588320295
GSM1595965,RUNX1T1,Kasumi-1;Myeloblast;Blood,1237.9864712442375
GSM1901548,LYL1,NB4;Promyelocytic cell;Blood,1237.7536155243092
GSM850823,RUNX1,Kasumi-1;Myeloblast;Blood,1236.211936633518
GSM468212,RARA,UPR9;Promyelocytic cell;Bone Marrow,1227.1246819988612
GSM1534441,RUNX1,Kasumi-1;Myeloblast;Blood,1224.2325815367403
GSM1113438,RUNX1,Kasumi-1;Myeloblast;Blood,1217.4235339622028
GSM1113437,RUNX1,Kasumi-1;Myeloblast;Blood,1213.1324928314039
GSM785495,SPI1,Monocyte,1207.7453175992102
GSM749524,EP300,NB4;Promyelocytic cell;Blood,1181.0133249161481
GSM2026053,RUNX1,Kasumi-1;Acute myeloid leukemia,1166.0492094491972
GSM1901549,JMJD1C,THP-1;Monocyte;Blood,1160.3719878041832
GSM1113429,RUNX1,Kasumi-1;Myeloblast;Blood,1149.9049238617768
GSM468206,PML,MR4;Promyelocytic cell;Bone Marrow,1140.581042388784
GSM2871156,CEBPB,HL-60;Acute myeloid leukemia,1135.1455784660752
GSM2871153,SKI,HL-60;Acute myeloid leukemia,1133.2249709441412
GSM2108052,RUNX1,THP-1;AML cell,1118.9421016800343
GSM2359982,SPI1,THP-1;Monocyte;Blood,1118.0396438254425
GSM2871154,RUNX1,HL-60;Acute myeloid leukemia,1088.0000748592508
GSM1632640,RUNX1,U937;Pleura,1085.204569587837
GSM1595964,RUNX1,Kasumi-1;Myeloblast;Blood,1080.5060869072797
GSM722424,CEBPA,U937;Pleura,1076.0948261293984
GSM1333967,SPI1,GM12878;B Lymphocyte;Blood,1068.6119911544033
