	Node	Cluster_0.1	Cluster_0.195	Cluster_0.29000000000000004	Cluster_0.385	Cluster_0.48	Cluster_0.575	Cluster_0.67	Cluster_0.765	Cluster_0.86	Cluster_0.955	Cluster_1.05	Cluster_1.145	Cluster_1.2400000000000002	Cluster_1.3350000000000002	Cluster_1.4300000000000002	Cluster_1.5250000000000001	Cluster_1.62	Cluster_1.715	Cluster_1.81	Cluster_1.905	Cluster_2.0
0	0	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
1	1	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
2	2	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
3	3	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
4	4	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
5	5	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
6	6	0	0	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
7	7	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
8	8	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
9	9	0	0	1	0	0	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
10	10	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
11	11	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
12	12	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
13	13	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
14	14	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
15	15	0	0	1	0	0	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
16	16	0	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
17	17	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
18	18	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
19	19	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
20	20	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
21	21	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
22	22	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
23	23	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
24	24	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
25	25	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
26	26	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
27	27	0	0	1	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2
28	28	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
29	29	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
30	30	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
31	31	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
32	32	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
33	33	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
34	34	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
35	35	0	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
36	36	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
37	37	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
38	38	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
39	39	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
40	40	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
41	41	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
42	42	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
43	43	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
44	44	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
