Tool,Nodes,Threads,Runtime_Sec,Peak_RAM_MB,Peak_RAM_GB
tchronetpy,10000,1,1169.5109,1034.8398,1.0106
TCseq_KM,10000,1,133.3949,2233.6289,2.1813
TCseq_HC,10000,1,192.0296,3361.3125,3.2825
TCseq_KM,10000,1,132.9431,2237.3555,2.1849
TchronetR,10000,1,61.5316,2990.707,2.9206
WGCNA,10000,1,66.4755,4560.1797,4.4533
tchronetpy,10000,2,1136.996,1032.9609,1.0088
WGCNA,10000,2,73.1502,4200.0156,4.1016
tchronetpy,10000,5,574.2487,1030.7266,1.0066
WGCNA,10000,5,82.0212,4188.8398,4.0907
tchronetpy,10000,15,411.6505,1028.5664,1.0045
WGCNA,10000,15,85.7008,4191.1797,4.0929
tchronetpy,10000,20,366.3332,1031.9922,1.0078
WGCNA,10000,20,77.7427,4575.2188,4.468
tchronetpy,10000,25,356.7183,1031.5586,1.0074
WGCNA,10000,25,89.9251,4193.4805,4.0952
tchronetpy,10000,30,391.9421,1031.6953,1.0075
WGCNA,10000,30,94.3175,4204.8867,4.1063
tchronetpy,10000,35,393.8668,1027.8125,1.0037
WGCNA,10000,35,94.9536,4194.1914,4.0959
tchronetpy,10000,40,344.9335,1031.6211,1.0074
WGCNA,10000,40,84.4568,4191.4648,4.0932
tchronetpy,20000,1,3078.5335,3850.8477,3.7606
TCseq_KM,20000,1,162.3384,6638.0703,6.4825
TCseq_HC,20000,1,389.6274,12517.3867,12.224
TCseq_KM,20000,1,166.1399,6657.7227,6.5017
TchronetR,20000,1,122.15,7510.8125,7.3348
WGCNA,20000,1,285.6916,16623.7266,16.2341
tchronetpy,20000,2,2336.7783,3856.6875,3.7663
WGCNA,20000,2,289.8626,15079.3477,14.7259
tchronetpy,20000,5,1079.9469,3851.2812,3.761
WGCNA,20000,5,307.1016,15079.1211,14.7257
tchronetpy,20000,15,821.332,3847.957,3.7578
WGCNA,20000,15,307.0068,15080.0352,14.7266
tchronetpy,20000,20,723.8953,3832.6758,3.7428
WGCNA,20000,20,291.9566,15091.4805,14.7378
tchronetpy,20000,25,764.9716,3849.4141,3.7592
WGCNA,20000,25,317.3763,15095.1836,14.7414
tchronetpy,20000,30,761.6871,3848.0078,3.7578
WGCNA,20000,30,320.4095,15094.9883,14.7412
tchronetpy,20000,35,769.0761,3850.6094,3.7604
WGCNA,20000,35,382.5389,15090.8633,14.7372
tchronetpy,20000,40,764.2995,3845.293,3.7552
WGCNA,20000,40,364.342,16630.4258,16.2407
tchronetpy,40000,1,11622.8187,15863.1758,15.4914
TCseq_KM,40000,1,242.764,24293.1172,23.7237
TCseq_HC,40000,1,1274.736,41875.7734,40.8943
TCseq_KM,40000,1,242.8979,24292.6719,23.7233
TchronetR,40000,1,590.0985,31583.5156,30.8433
WGCNA,40000,1,1541.9739,58630.957,57.2568
tchronetpy,40000,2,11868.9263,15881.4531,15.5092
WGCNA,40000,2,1399.0019,58646.7734,57.2722
tchronetpy,40000,5,8661.1226,15868.4336,15.4965
WGCNA,40000,5,1335.0092,64791.4492,63.2729
tchronetpy,40000,15,7268.8652,15875.5625,15.5035
WGCNA,40000,15,1301.8238,64789.832,63.2713
tchronetpy,40000,20,5543.7128,15871.6172,15.4996
WGCNA,40000,20,1355.998,58674.9727,57.2998
tchronetpy,40000,25,6086.2436,15830.4297,15.4594
WGCNA,40000,25,1426.9856,58672.3594,57.2972
tchronetpy,40000,30,5915.8545,15874.8867,15.5028
WGCNA,40000,30,1432.8562,58671.7109,57.2966
tchronetpy,40000,35,6166.0911,15870.6758,15.4987
WGCNA,40000,35,1408.3292,58659.1328,57.2843
tchronetpy,40000,40,5310.2538,15871.3711,15.4994
WGCNA,40000,40,1414.6451,58656.9023,57.2821
tchronetpy,60000,1,39413.0382,33452.3359,32.6683
TCseq_KM,60000,1,499.2946,53551.4766,52.2964
TCseq_KM,60000,1,401.9456,53670.2617,52.4124
TchronetR,60000,1,1151.2353,72718.4219,71.0141
WGCNA,60000,1,4634.4587,138084.875,134.8485
tchronetpy,60000,2,34804.4419,33444.6445,32.6608
WGCNA,60000,2,3667.8197,138144.7109,134.9069
tchronetpy,60000,5,17099.7676,33429.3555,32.6459
WGCNA,60000,5,3400.0353,138143.6875,134.9059
tchronetpy,60000,15,16532.4931,33443.8633,32.66
WGCNA,60000,15,3096.1875,138147.7695,134.9099
tchronetpy,60000,20,20318.8137,33442.0938,32.6583
WGCNA,60000,20,3315.7993,135638.4219,132.4594
tchronetpy,60000,25,19408.1129,33360.1328,32.5783
WGCNA,60000,25,3290.0158,138147.7969,134.91
tchronetpy,60000,30,19959.6517,33447.8594,32.6639
WGCNA,60000,30,3422.7333,138149.3633,134.9115
tchronetpy,60000,35,21165.1701,33432.543,32.649
WGCNA,60000,35,3520.186,138149.1445,134.9113
