	index	row_name	estimated_time	n_processors
0	0	1000	2.9956247806549072	2
1	1	5000	14.643025636672974	2
2	2	10000	58.153770446777344	2
3	3	20000	234.86619663238525	2
4	4	40000	1014.1021730899811	2
5	5	60000	2486.008638858795	2
0	0	1000	0.6620583534240723	5
1	1	5000	7.251985311508179	5
2	2	10000	25.516754865646362	5
3	3	20000	102.59610629081726	5
4	4	40000	432.8466272354126	5
5	5	60000	1000.2567358016968	5
0	0	1000	0.7050671577453613	15
1	1	5000	5.358086585998535	15
2	2	10000	18.31493306159973	15
3	3	20000	65.35932230949402	15
4	4	40000	270.578928232193	15
5	5	60000	613.1046180725098	15
0	0	1000	0.6657428741455078	20
1	1	5000	5.287949562072754	20
2	2	10000	18.379985332489014	20
3	3	20000	63.06223750114441	20
4	4	40000	262.3061900138855	20
5	5	60000	562.4857079982758	20
0	0	1000	0.6843116283416748	25
1	1	5000	5.052630186080933	25
2	2	10000	17.727303504943848	25
3	3	20000	60.375123262405396	25
4	4	40000	250.04938650131226	25
5	5	60000	529.4661581516266	25
0	0	1000	0.6902925968170166	30
1	1	5000	5.060155630111694	30
2	2	10000	16.683294534683228	30
3	3	20000	62.85319995880127	30
4	4	40000	238.2491204738617	30
5	5	60000	525.1164910793304	30
0	0	1000	0.6733169555664062	35
1	1	5000	5.283529758453369	35
2	2	10000	16.90913152694702	35
3	3	20000	62.86039638519287	35
4	4	40000	230.74652075767517	35
5	5	60000	531.3048799037933	35
0	0	1000	0.7085199356079102	40
1	1	5000	5.150090217590332	40
2	2	10000	17.008155822753906	40
3	3	20000	58.95210266113281	40
4	4	40000	223.41460180282593	40
5	5	60000	515.6211695671082	40
