PeakID (cmd=annotatePeaks.pl beds/community2.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
2289	chr10	108431981	108432597	+	0	NA	intron (NR_155870, intron 1 of 2)	intron (NR_155870, intron 1 of 2)	15038	NR_155870	102640148		NR_155870	ENSMUSG00000112532	Gm36283	-	predicted gene, 36283	ncRNA
1895	chr5	122526950	122527513	+	0	NA	Intergenic	Intergenic	-25006	NM_001110140	11938		NM_009722	ENSMUSG00000029467	Atp2a2	9530097L16Rik|D5Wsu150e|SERCA2|SERCA2B|Serca2a|mKIAA4195	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	protein-coding
2928	chr9	102717084	102718223	+	0	NA	promoter-TSS (NM_019764)	promoter-TSS (NM_019764)	-151	NM_019764	56332		NM_019764	ENSMUSG00000032531	Amotl2	Lccp|MASCOT|mKIAA0989	angiomotin-like 2	protein-coding
3633	chr19	32323095	32323476	+	0	NA	intron (NM_144792, intron 2 of 9)	intron (NM_144792, intron 2 of 9)	26031	NM_001168525	208449		NM_144792	ENSMUSG00000040451	Sgms1	9530058O11Rik|Mob|Sms1|Sor1|Tmem23	sphingomyelin synthase 1	protein-coding
4099	chr18	74961131	74961517	+	0	NA	promoter-TSS (NM_010720)	promoter-TSS (NM_010720)	-61	NM_010720	16891		NM_010720	ENSMUSG00000053846	Lipg	3110013K01Rik|EL|lipase|mEDL	lipase, endothelial	protein-coding
3545	chr9	59035941	59037256	+	0	NA	promoter-TSS (NM_001042752)	promoter-TSS (NM_001042752)	-157	NM_008684	18007		NM_008684	ENSMUSG00000032340	Neo1	2610028H22Rik|D930014N22Rik|Igdcc2	neogenin	protein-coding
1200	chr19	12488905	12489405	+	0	NA	intron (NM_172442, intron 2 of 8)	intron (NM_172442, intron 2 of 8)	12841	NM_172442	207521		NM_172442	ENSMUSG00000039982	Dtx4	D930042H13|RNF155	deltex 4, E3 ubiquitin ligase	protein-coding
2934	chr9	106790938	106791223	+	0	NA	Intergenic	RMER13A2|LTR|ERVK	-1867	NM_030730	81000		NM_030730	ENSMUSG00000040661	Rad54l2	Arip4|D130058C05|G630026H09Rik|Srisnf2l	RAD54 like 2 (S. cerevisiae)	protein-coding
2108	chr7	29281196	29282284	+	0	NA	5' UTR (NM_011464, exon 1 of 7)	5' UTR (NM_011464, exon 1 of 7)	237	NM_011464	20733		NM_011464	ENSMUSG00000074227	Spint2	HAI-2	serine protease inhibitor, Kunitz type 2	protein-coding
3835	chr4	10924240	10924503	+	0	NA	Intergenic	Intergenic	49873	NM_026005	67157		NM_026005	ENSMUSG00000059482	Cfap418	2610301B20Rik	cilia and flagella associated protein 418	protein-coding
1693	chr4	100258545	100258817	+	0	NA	intron (NM_001312690, intron 1 of 3)	intron (NM_001312690, intron 1 of 3)	162890	NM_013845	26563		NM_013845	ENSMUSG00000035305	Ror1	2810404D04Rik|Ntrkr1	receptor tyrosine kinase-like orphan receptor 1	protein-coding
3748	chr8	75154754	75155472	+	0	NA	Intergenic	MIRc|SINE|MIR	45604	NM_008566	17218		NM_008566	ENSMUSG00000005410	Mcm5	Cdc46|Mcmd5|P1-CDC46	minichromosome maintenance complex component 5	protein-coding
2950	chr9	121950435	121951334	+	0	NA	promoter-TSS (NM_177743)	promoter-TSS (NM_177743)	-104	NM_177743	245050		NM_177743	ENSMUSG00000038233	Gask1a	C730027P07Rik|Fam198a	golgi associated kinase 1A	protein-coding
1429	chr2	158658840	158659232	+	0	NA	Intergenic	Intergenic	-7697	NM_153089	228852		NM_153089	ENSMUSG00000037754	Ppp1r16b	ANKRD4|C130078N17Rik|TIMAP|Wdt4	protein phosphatase 1, regulatory subunit 16B	protein-coding
1402	chr2	125615519	125616469	+	0	NA	intron (NM_001081091, intron 6 of 27)	intron (NM_001081091, intron 6 of 27)	9119	NM_001081091	99100		NM_001081091	ENSMUSG00000068394	Cep152	mKIAA0912	centrosomal protein 152	protein-coding
4076	chr13	23517132	23517349	+	0	NA	Intergenic	tRNA-Gly-GGY|tRNA|tRNA	13688	NR_167693	100034675		NR_167692		Gm11335	1700024h08rik	predicted gene 11335	ncRNA
2000	chr6	90462277	90462719	+	0	NA	promoter-TSS (NM_001355668)	promoter-TSS (NM_001355668)	-78	NM_023184	66277		NM_023184	ENSMUSG00000030087	Klf15	1810013I09Rik|CKLF|KKLF|hlb444	Kruppel-like transcription factor 15	protein-coding
2394	chr14	25745345	25746081	+	0	NA	intron (NM_001101433, intron 2 of 3)	intron (NM_001101433, intron 2 of 3)	23359	NM_001101433	71918		NM_001101433	ENSMUSG00000055538	Zcchc24	2310047A01Rik	zinc finger, CCHC domain containing 24	protein-coding
2792	chr8	69049625	69049921	+	0	NA	intron (NM_153054, intron 11 of 16)	intron (NM_153054, intron 11 of 16)	-38963	NM_007509	11966		NM_007509	ENSMUSG00000006273	Atp6v1b2	Atp6b2|HO57	ATPase, H+ transporting, lysosomal V1 subunit B2	protein-coding
917	chr16	25058715	25059861	+	0	NA	promoter-TSS (NR_040374)	promoter-TSS (NR_040374)	-351	NR_040374	319487		NR_040374	ENSMUSG00000096960	A230028O05Rik	-	RIKEN cDNA A230028O05 gene	ncRNA
486	chr12	36004764	36005059	+	0	NA	TTS (NM_011783)	TTS (NM_011783)	11986	NM_011783	23795		NM_011783	ENSMUSG00000020581	Agr2	Agr2h|Gob-4|HAG-2|XAG-2|mAG-2	anterior gradient 2	protein-coding
787	chr15	25589325	25589832	+	0	NA	Intergenic	MTD|LTR|ERVL-MaLR	-32972	NM_019472	17909		NM_019472	ENSMUSG00000022272	Myo10	D15Ertd600e|mKIAA0799|myosin-X	myosin X	protein-coding
3419	chr6	29658613	29659136	+	0	NA	Intergenic	Intergenic	-35340	NM_001301407	232670		NM_146173	ENSMUSG00000001763	Tspan33	1300010A20Rik|Pen	tetraspanin 33	protein-coding
673	chr13	109502733	109503180	+	0	NA	intron (NM_011056, intron 3 of 16)	intron (NM_011056, intron 3 of 16)	178212	NR_030644	100124489		NR_030644	ENSMUSG00000076946	Mir582	Mirn582|mir-582|mmu-mir-582	microRNA 582	ncRNA
1089	chr18	6275464	6276181	+	0	NA	Intergenic	Intergenic	-34298	NM_008448	16573		NM_008448	ENSMUSG00000006740	Kif5b	Khc|Khcs|Kns1|Ukhc	kinesin family member 5B	protein-coding
2318	chr11	79790183	79790471	+	0	NA	Intergenic	Intergenic	63927	NR_029959	723853		NR_029959	ENSMUSG00000065489	Mir365-2	Mirn365-2|mir-365-2	microRNA 365-2	ncRNA
4127	chr6	17727305	17727539	+	0	NA	intron (NM_001289624, intron 1 of 15)	intron (NM_001289624, intron 1 of 15)	-16170	NM_001289627	64213		NM_022332	ENSMUSG00000029534	St7	9430001H04Rik|Fam4a2|HELG|RAY1|SEN4|TSG7	suppression of tumorigenicity 7	protein-coding
138	chr1	138510375	138511014	+	0	NA	intron (NM_021605, intron 7 of 9)	intron (NM_021605, intron 7 of 9)	109063	NM_021605	59125		NM_021605	ENSMUSG00000026393	Nek7	2810460C19Rik	NIMA (never in mitosis gene a)-related expressed kinase 7	protein-coding
