PeakID (cmd=annotatePeaks.pl ../beds/community3.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
174	chr20	30057920	30059129	+	0	NA	intron (NM_001037500, intron 1 of 1)	SVA_F|Other|Other	2292	NM_001037500	245937		NM_001037500	ENSG00000180383	DEFB124	DEFB-24	defensin beta 124	protein-coding
354	chr5	151022521	151023344	+	0	NA	Intergenic	FAM|SINE|Alu	-33574	NR_109873	101927096		NR_109873	ENSG00000249035	CLMAT3	CTB-113P19.1|SPARC-AS1	colorectal liver metastasis associated transcript 3	ncRNA
267	chr6	56759145	56759907	+	0	NA	intron (NM_001374734, intron 3 of 102)	SVA_E|Other|Other	-42823	NM_001144770	667		NM_001723	ENSG00000151914	DST	BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DMH|DT|EBS3|EBSB2|HSAN6|MACF2	dystonin	protein-coding
126	chr15	69151779	69152640	+	0	NA	Intergenic	SVA_D|Other|Other	-38975	NM_006305	8125		NM_006305	ENSG00000140350	ANP32A	C15orf1|HPPCn|I1PP2A|LANP|MAPM|PHAP1|PHAPI|PP32	acidic nuclear phosphoprotein 32 family member A	protein-coding
25	chr15	68426789	68428012	+	0	NA	intron (NM_001320687, intron 3 of 14)	SVA_F|Other|Other	70270	NM_033429	91860		NM_033429	ENSG00000129007	CALML4	NY-BR-20	calmodulin like 4	protein-coding
262	chr6	31422156	31423287	+	0	NA	Intergenic	SVA_D|Other|Other	-8236	NR_040662	10866		NR_040662	ENSG00000206337	HCP5	6S2650E|D6S2650E|P5-1	HLA complex P5	ncRNA
334	chr21	37203570	37204270	+	0	NA	Intergenic	Intergenic	-54823	NR_144547	54036		NR_144547		PPP1R2P2	-	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 2	pseudo
21	chr7	4841801	4842973	+	0	NA	intron (NM_018059, intron 11 of 14)	intron (NM_018059, intron 11 of 14)	-14117	NR_039800	100616465		NR_039800	ENSG00000264474	MIR4656	-	microRNA 4656	ncRNA
314	chr17	1308096	1308606	+	0	NA	Intergenic	L2|LINE|L2	-4795	NR_024058	7531		NM_006761	ENSG00000108953	YWHAE	14-3-3E|HEL2|KCIP-1|MDCR|MDS	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	protein-coding
23	chr21	45861519	45862105	+	0	NA	non-coding (NR_038257, exon 32 of 32)	non-coding (NR_038257, exon 32 of 32)	13355	NR_047476	100861510		NR_047476	ENSG00000229356	LRRC3-DT	LRRC3-AS1	LRRC3 divergent transcript	ncRNA
220	chr3	178837990	178839285	+	0	NA	intron (NR_125401, intron 2 of 2)	SVA_F|Other|Other	27124	NR_125401	101928739		NR_125401	ENSG00000229102	PIK3CA-DT	-	PIK3CA divergent transcript	ncRNA
